p cnf 150 630
-34 117 8 0
62 83 -102 0
57 10 -90 0
-135 112 -133 0
-86 44 -123 0
-14 -130 -57 0
-85 -17 -130 0
2 140 -23 0
62 89 48 0
-54 -129 85 0
105 106 38 0
137 72 -69 0
-23 -4 -113 0
119 -120 63 0
146 -3 65 0
127 -93 16 0
7 70 9 0
87 -6 148 0
-103 8 -45 0
-98 -30 68 0
-77 82 -146 0
75 -74 -5 0
61 -98 -86 0
115 117 -33 0
46 109 95 0
98 23 -32 0
-123 120 55 0
145 -44 59 0
-78 124 -131 0
-57 -73 54 0
81 145 -76 0
-117 120 60 0
-61 8 6 0
-97 -13 147 0
122 46 -82 0
103 137 -61 0
7 51 4 0
-83 -81 5 0
-124 134 88 0
138 -93 -128 0
40 31 -60 0
-42 36 -1 0
38 -73 21 0
-113 -79 141 0
107 -53 55 0
-56 -114 -67 0
-111 -134 -75 0
-110 -75 -80 0
-49 34 104 0
-98 121 -71 0
-129 -10 8 0
-106 39 59 0
148 77 43 0
-91 -136 -87 0
-135 -147 87 0
-131 125 43 0
-92 18 -121 0
-3 18 105 0
129 -69 -80 0
19 -114 133 0
-104 -50 44 0
109 86 149 0
-1 -66 69 0
24 144 77 0
-68 -134 -65 0
138 139 127 0
146 4 15 0
-44 105 109 0
-122 -127 -70 0
-48 -38 -37 0
55 -143 -75 0
-147 86 -146 0
-147 93 25 0
-19 -97 -1 0
15 126 -34 0
-148 123 -83 0
36 -37 -48 0
89 -103 -90 0
-19 -15 -142 0
50 83 -5 0
120 46 139 0
-33 -54 -8 0
-59 -60 58 0
144 29 -93 0
-143 73 135 0
38 26 136 0
-26 -15 69 0
34 137 143 0
68 -55 -119 0
88 -25 -36 0
-32 40 -53 0
-81 -53 96 0
-85 -59 -100 0
-38 -43 62 0
-9 56 -136 0
128 142 -55 0
31 32 -10 0
-137 -86 90 0
-28 -81 -8 0
-85 40 150 0
90 123 107 0
117 -33 -69 0
-38 -5 -13 0
139 137 4 0
56 87 16 0
-120 108 45 0
-123 132 117 0
77 136 -16 0
-24 -49 81 0
108 -25 -26 0
84 59 40 0
-140 -23 1 0
111 22 20 0
27 -134 144 0
64 129 -23 0
-61 -89 146 0
-108 -6 -91 0
81 -123 -3 0
-121 119 -141 0
-119 -113 -117 0
-102 -125 96 0
-128 77 -20 0
-63 75 -145 0
65 99 -111 0
60 -75 -4 0
109 -41 101 0
-77 -1 -96 0
-68 -23 48 0
74 -136 -82 0
54 3 38 0
-55 -19 72 0
29 -123 -102 0
-1 65 46 0
-105 3 33 0
-93 -99 110 0
-130 39 -114 0
-118 -43 17 0
-48 -98 -25 0
83 -129 -28 0
56 -98 -121 0
82 45 97 0
7 -117 -46 0
-89 86 -130 0
-17 -2 -77 0
-135 57 26 0
53 81 -56 0
8 136 -102 0
-48 141 -65 0
-144 -63 -8 0
73 -8 -118 0
-123 111 -126 0
145 6 110 0
143 105 -3 0
-109 105 -119 0
69 -1 -24 0
-137 124 25 0
-94 11 -9 0
25 107 -42 0
-118 -120 -125 0
139 -10 -50 0
69 -43 -40 0
99 148 46 0
102 -96 124 0
-80 28 22 0
40 -109 -110 0
50 -145 -100 0
-148 136 111 0
-101 18 -148 0
105 14 -79 0
16 -48 -119 0
19 70 -58 0
-130 48 61 0
136 -81 -22 0
149 93 -79 0
19 -40 -43 0
95 119 -120 0
-41 -4 -113 0
3 -137 -118 0
18 73 41 0
45 19 -2 0
137 -57 -5 0
136 66 78 0
58 -8 -40 0
38 112 -133 0
39 -52 -90 0
37 -95 6 0
-136 133 89 0
10 137 5 0
94 -107 136 0
-76 -19 3 0
-74 126 -124 0
-67 -142 15 0
82 -100 -115 0
144 9 23 0
-7 90 5 0
108 -1 -109 0
-17 -142 -3 0
-103 87 75 0
-39 105 -95 0
-126 -146 49 0
11 -116 77 0
-70 -126 -63 0
76 -57 90 0
-19 24 -36 0
-12 -99 72 0
-14 76 -113 0
-18 -49 -71 0
77 62 57 0
113 1 65 0
-84 -5 -6 0
-89 133 3 0
25 -36 -78 0
-69 -78 -121 0
115 -64 29 0
111 7 -13 0
91 -14 105 0
55 81 77 0
-118 -103 -125 0
148 -33 -55 0
-118 83 114 0
78 -6 -49 0
107 129 -125 0
-48 -91 -120 0
-101 -17 146 0
65 90 -68 0
-36 35 -28 0
-137 -89 100 0
-75 -128 -11 0
-10 -66 54 0
-118 -30 -97 0
-136 71 14 0
83 109 82 0
-60 133 22 0
4 -70 -61 0
119 36 146 0
-37 13 -43 0
-131 -91 87 0
-123 129 -22 0
149 9 61 0
-10 22 -49 0
-121 140 28 0
-24 -54 -69 0
-142 -16 25 0
-148 51 60 0
132 -21 -11 0
103 -81 -104 0
-96 53 -69 0
72 -77 -112 0
24 -4 -116 0
103 46 52 0
115 34 -119 0
-140 122 -110 0
146 30 72 0
143 -67 70 0
-150 8 77 0
-137 136 -55 0
-40 -65 48 0
130 -56 -99 0
-125 93 -76 0
51 23 129 0
20 -75 -125 0
-119 139 115 0
14 6 -86 0
56 142 -59 0
-78 -102 -94 0
21 149 70 0
122 -80 111 0
73 -100 111 0
-75 -125 -135 0
73 28 10 0
-63 67 68 0
56 135 111 0
-25 47 -54 0
3 -61 -11 0
-72 -66 46 0
-135 -5 18 0
10 -26 74 0
100 -27 12 0
-147 -58 57 0
97 -31 -2 0
88 67 94 0
-64 91 -86 0
38 -84 -100 0
21 -24 9 0
-136 -48 16 0
6 96 144 0
22 142 -58 0
-111 -84 2 0
93 143 41 0
-6 -47 -17 0
-80 -133 -129 0
142 95 52 0
22 -115 75 0
-46 -134 97 0
-1 31 13 0
-37 -25 -94 0
31 -128 -15 0
-92 8 88 0
39 137 -72 0
58 -68 141 0
-51 -31 -128 0
-147 -69 61 0
91 -62 57 0
77 -94 54 0
5 -39 -84 0
35 55 -66 0
24 -84 80 0
123 4 135 0
86 -95 8 0
-72 20 -75 0
-44 134 62 0
-67 -123 84 0
115 -96 34 0
-144 -68 -126 0
81 88 -82 0
105 -6 71 0
-133 -67 -9 0
-100 -48 67 0
18 -36 -95 0
-137 -49 -93 0
-148 137 -19 0
-23 45 91 0
-124 133 147 0
6 146 111 0
-47 -75 -115 0
-70 60 -23 0
-111 -118 138 0
-67 89 87 0
97 -147 -59 0
105 140 -94 0
101 -6 136 0
-123 -9 -105 0
-15 126 112 0
-61 95 -104 0
-88 -81 -58 0
56 -93 -35 0
85 69 -57 0
-10 57 142 0
-75 73 -33 0
18 8 -94 0
130 -25 -94 0
-136 -130 -94 0
-71 -108 133 0
-122 17 -29 0
-56 19 -132 0
125 -119 55 0
105 -84 37 0
92 145 81 0
42 116 5 0
-2 28 -30 0
116 134 56 0
-91 -85 141 0
-24 145 113 0
-32 36 -102 0
121 15 -25 0
-135 5 58 0
40 52 -43 0
-8 83 81 0
52 -42 -22 0
-70 -6 15 0
129 123 -141 0
-143 117 70 0
-6 3 108 0
-28 71 45 0
54 -143 -128 0
15 10 82 0
-118 93 50 0
-92 76 -124 0
-55 -21 83 0
-21 70 39 0
8 -130 51 0
124 -57 127 0
9 -17 -8 0
40 49 -92 0
-79 104 32 0
149 -120 38 0
82 -115 -86 0
-120 27 -28 0
98 -77 49 0
-127 -142 -79 0
-131 96 44 0
-144 -74 23 0
-109 26 64 0
72 -141 89 0
42 -64 -115 0
117 -8 39 0
-46 -14 -57 0
140 -95 -90 0
22 125 37 0
41 -114 -139 0
84 -22 -32 0
-95 25 34 0
60 -32 -138 0
-73 141 -4 0
-117 -41 148 0
-138 63 43 0
-117 -73 138 0
-17 -30 58 0
70 108 132 0
-19 -28 -48 0
-3 83 114 0
3 144 -9 0
-70 -90 -94 0
93 -118 -147 0
-37 41 -24 0
-75 107 68 0
69 -73 109 0
107 10 -2 0
95 84 -21 0
78 114 94 0
-49 -122 -43 0
-91 2 -111 0
111 -51 32 0
30 -87 118 0
-21 39 131 0
74 -34 -147 0
-12 -26 -73 0
58 37 7 0
36 98 -112 0
36 -148 -86 0
136 -80 72 0
-80 -8 93 0
37 110 -53 0
-27 33 125 0
-67 125 118 0
15 -102 108 0
-21 -25 -73 0
-21 83 -15 0
7 -69 102 0
33 49 -66 0
-88 82 123 0
50 103 -105 0
