p cnf 150 630
132 98 23 0
-106 37 59 0
49 -23 139 0
34 101 90 0
96 119 64 0
1 28 -66 0
15 -59 146 0
42 -41 3 0
-105 -122 53 0
-90 -88 -25 0
13 -116 120 0
5 -48 -136 0
122 42 -10 0
22 88 -128 0
-8 60 67 0
20 133 -145 0
79 -24 58 0
-132 37 -45 0
118 19 -64 0
-147 17 -111 0
47 137 39 0
79 -93 76 0
-56 -46 27 0
79 119 89 0
120 64 119 0
83 122 53 0
110 -51 -66 0
-96 -30 15 0
116 136 72 0
-134 73 20 0
15 -133 33 0
-97 24 -4 0
4 -98 -141 0
-88 -85 59 0
59 -33 -142 0
-16 75 134 0
-56 -42 59 0
60 44 62 0
-80 5 101 0
112 -23 -116 0
-69 21 149 0
-77 79 -85 0
-131 136 20 0
-6 34 124 0
5 60 -132 0
87 118 96 0
63 -88 -111 0
107 -128 -141 0
-44 -49 -79 0
-2 -106 -21 0
-57 127 35 0
-50 1 -23 0
25 11 -1 0
91 -44 144 0
48 54 -107 0
-39 -50 84 0
11 149 3 0
73 68 64 0
-108 -17 130 0
141 11 -14 0
-94 53 -45 0
-30 105 -76 0
-15 107 -6 0
-44 -97 -49 0
-70 26 44 0
-40 145 143 0
-106 -2 -16 0
-71 53 -88 0
133 -105 -147 0
102 28 76 0
-121 10 80 0
-4 8 103 0
49 66 -16 0
-82 -9 -17 0
-132 -35 55 0
-20 40 -90 0
111 102 -52 0
134 2 -35 0
29 -149 133 0
147 21 -36 0
-31 95 108 0
-33 116 112 0
-40 -57 84 0
-10 -60 -106 0
-12 93 90 0
66 126 -121 0
131 116 -49 0
-44 -126 -112 0
110 -30 67 0
-87 -62 -67 0
-63 -19 -30 0
-114 125 18 0
-62 113 112 0
-65 61 -4 0
139 62 73 0
-61 -88 144 0
-44 29 23 0
-120 127 141 0
-138 73 8 0
136 -64 29 0
-125 -98 53 0
-15 -107 32 0
-12 113 -149 0
115 -58 -70 0
-148 38 67 0
147 -15 -44 0
16 -28 67 0
14 81 -133 0
-88 132 109 0
-90 -128 93 0
-93 107 -110 0
-79 -63 135 0
94 134 -148 0
139 81 34 0
26 129 33 0
-133 85 5 0
107 32 -43 0
140 65 -58 0
-21 -55 50 0
-76 107 15 0
-128 -102 -3 0
-89 -122 -67 0
-90 -79 117 0
7 68 137 0
137 -98 -71 0
-93 -81 -136 0
47 16 51 0
115 -144 -77 0
102 142 -4 0
-24 149 49 0
120 21 113 0
24 -96 -109 0
-12 -134 -92 0
101 -119 -107 0
62 59 -77 0
68 15 50 0
-120 137 134 0
-8 133 102 0
-94 89 61 0
66 40 -118 0
-148 107 -134 0
18 -105 -130 0
1 -90 45 0
127 -18 -29 0
-134 102 -23 0
-81 136 -109 0
120 -5 -38 0
-25 -68 116 0
-94 144 147 0
-105 -140 111 0
-20 -16 -31 0
-31 -41 -93 0
-117 140 -97 0
113 -4 -88 0
114 59 124 0
109 77 -6 0
70 87 -14 0
-38 37 -66 0
20 144 -120 0
-24 -58 -16 0
7 -28 -96 0
120 -35 26 0
103 94 -143 0
-143 -138 -80 0
132 59 111 0
-7 -73 -121 0
70 95 118 0
89 -29 99 0
11 -2 -102 0
98 124 135 0
57 -15 -125 0
-128 -52 -109 0
-42 -65 -36 0
-9 57 -102 0
25 -3 38 0
-100 -1 108 0
47 -132 -8 0
-94 66 -102 0
55 135 108 0
121 -102 21 0
-89 -123 135 0
-100 39 149 0
41 -112 147 0
58 20 -88 0
21 137 78 0
-60 72 135 0
149 60 133 0
126 134 -110 0
-112 89 93 0
-143 -28 61 0
-12 76 2 0
-99 -12 88 0
63 48 -133 0
72 -142 -109 0
98 -7 -21 0
6 -4 -85 0
8 -17 -137 0
-102 74 -103 0
-55 -100 115 0
53 149 -99 0
-19 -67 -52 0
116 108 -74 0
-100 58 -108 0
-93 142 17 0
41 -24 4 0
30 37 1 0
-89 16 25 0
-55 102 10 0
-18 60 127 0
-9 -75 2 0
-30 -91 -139 0
145 -146 -127 0
-43 -64 -81 0
-110 47 -38 0
148 105 -80 0
86 71 140 0
-65 14 -73 0
-61 -116 145 0
16 -5 -85 0
78 136 27 0
93 136 -38 0
53 -80 137 0
25 -140 -78 0
4 42 68 0
-129 -92 -70 0
-40 75 145 0
-29 -136 -100 0
-27 145 114 0
96 112 58 0
74 -108 120 0
-81 -150 130 0
-85 79 150 0
-121 130 6 0
106 118 138 0
115 -75 -19 0
53 133 -123 0
107 -108 118 0
34 -138 50 0
82 -136 57 0
-9 -147 138 0
82 -39 -134 0
-11 -61 128 0
-97 121 -53 0
81 -42 -145 0
23 -148 -103 0
-46 40 -52 0
121 -73 -82 0
90 -1 -64 0
-128 -72 -126 0
3 69 76 0
9 96 3 0
133 -64 70 0
-32 11 -64 0
-32 67 39 0
82 -16 41 0
-150 -83 148 0
-44 122 -107 0
30 34 -128 0
85 29 80 0
74 31 128 0
-79 -69 -72 0
44 117 82 0
-148 102 26 0
-59 -14 -78 0
24 10 -36 0
-79 -52 71 0
-138 64 -30 0
19 -116 30 0
-43 -11 -35 0
-41 -18 -103 0
-42 30 -46 0
51 98 -39 0
-114 -87 -60 0
-110 -87 81 0
-25 120 97 0
89 14 -84 0
-20 61 -131 0
27 103 -132 0
129 125 -34 0
-33 150 -79 0
-112 -98 117 0
-125 -137 102 0
-55 -48 37 0
-25 -95 112 0
-2 18 -41 0
-105 -118 -72 0
15 43 25 0
33 80 5 0
-21 -46 -6 0
96 -48 -30 0
128 -115 73 0
116 10 -33 0
117 -26 -10 0
-118 21 -9 0
-127 -88 74 0
46 -126 -47 0
-85 -84 -65 0
41 -121 37 0
120 6 -67 0
-37 73 -146 0
74 87 65 0
-112 -28 -99 0
-50 -130 -34 0
111 62 -35 0
124 -30 117 0
5 10 -73 0
-80 110 122 0
-68 -12 -50 0
103 -105 8 0
4 -142 116 0
144 -12 86 0
81 80 143 0
-8 -82 -39 0
39 -101 -4 0
34 -65 -37 0
145 67 -98 0
66 -68 -53 0
-42 96 27 0
-145 134 -22 0
-81 -79 118 0
-124 33 86 0
108 -133 -26 0
125 150 17 0
57 -7 -121 0
-11 47 -2 0
47 20 -31 0
132 -83 -149 0
17 79 12 0
117 -14 -128 0
36 13 18 0
30 34 148 0
-32 -27 -90 0
-72 -137 -30 0
-121 16 33 0
-54 -87 39 0
72 -20 -102 0
116 -69 128 0
83 -119 142 0
140 -55 114 0
-121 84 -37 0
-106 -31 -35 0
90 95 16 0
5 -76 57 0
52 108 -28 0
-91 59 -131 0
110 23 -15 0
60 115 95 0
80 -144 18 0
31 30 -87 0
125 133 19 0
89 38 -44 0
-59 117 6 0
79 105 13 0
-80 31 133 0
-43 -46 -139 0
